			"S Y ENDURANCE, Captain Worsley"								Steam and Sailing vessel					
																
YEAR	MONTH	DAY	HOUR	LATITUDE			LONGITUDE			WIND	FORCE	BAROMETER	ATT. THERM.	DRY BULB	WET BULB	SEA SURFACE
				OBSERVED	DEAD RECKONING	N/S	OBSERVED	DEAD RECKONING	E/W				(F)	(F)	(F)	TEMP (F)
1914	8	8	400													
1914	8	8	800													
1914	8	8	1200							SSW	4	30.180	56.0	56.0		
1914	8	8	1600							SSW	4	30.200	56.0	56.0		
1914	8	8	2000							SSW	2	30.200	56.0	56.0		
1914	8	8	2400													
1914	8	9	400							SW						
1914	8	9	800							SW						
1914	8	9	1200		50.05	N		4.45	W	SSW	5	30.200	60.0	60.0		
1914	8	9	1600							SWxS	6	30.220	60.0	60.0		
1914	8	9	2000							SWxS	2	30.280	62.0	62.0		
1914	8	9	2400							W	3	30.270	60.0	60.0		
1914	8	10	400							Var		30.300	60.0	60.0		
1914	8	10	800							WSW	2	30.400	62.0	62.0		
1914	8	10	1200	48.20	48.20	N	6.58	6.55	W	NW	2	30.450	62.5	62.5	60.4	
1914	8	10	1600							NW	3	30.460	65.3	65.3	62.0	
1914	8	10	2000							NNW	1	30.460	60.5	60.5	58.5	
1914	8	10	2400							NE	1	30.320	60.0	60.0		
1914	8	11	400							NExN	3	30.540	60.0	60.0	55.0	
1914	8	11	800							E-NE	3	30.545	62.0	62.0	59.0	
1914	8	11	1200	47.28	47.27	N	7.33	7.39	W	ExN	5	30.550	62.0	62.0	60.0	
1914	8	11	1600							NE	4	30.510	61.0	61.0	60.0	
1914	8	11	2000							NE	5		61.0			61.5
1914	8	11	2400							ENE	4	30.450	60.5			
1914	8	12	400							ESE	5	30.360	69.0	63.0	62.0	62.0
1914	8	12	800							SSW	2	30.210	69.0	63.5	63.0	63.0
1914	8	12	1200	46.11		N	8.25		W	Var	3	30.200	69.0	66.0	65.0	64.0
1914	8	12	1600							SW	5	30.162	68.0	66.0	64.5	64.0
1914	8	12	2000							WSW	2	30.165	69.0	65.0	64.0	63.5
1914	8	12	2400							SW	2	30.260		65.0		
1914	8	13	400							SW	2	30.115	68.0	65.0	62.0	65.0
1914	8	13	800							S	5	30.100	68.8	65.0	63.2	
1914	8	13	1200	44.25	44.25	N	9.39	9.39	W	SSW	5	30.175	70.4	66.4	65.4	66.0
1914	8	13	1600							SSW	5	30.100	70.5	66.5	65.0	66.0
1914	8	13	2000							SSW	6	30.060	69.0	66.0	65.4	66.0
1914	8	13	2400							SbyW	4	30.140		65.0	64.0	
1914	8	14	400							W	6	30.075	69.0	66.0	65.0	66.5
1914	8	14	800							W	6	30.080	70.0	66.0	65.3	66.0
1914	8	14	1200	44.08	44.07	N	10.48	10.35	W	WSW	7	30.150	67.0	65.5	63.0	65.3
1914	8	14	1600							WSW	6	30.220	68.0	67.0	65.0	65.2
1914	8	14	2000							W	5	30.240	68.0	66.0	65.0	65.0
1914	8	14	2400							NW	3	30.380		66.0	63.5	66.5
1914	8	15	400							WNW	3	30.250	67.0	66.0	65.0	63.0
1914	8	15	800							WSW	4	30.270	67.5	63.0	62.5	63.5
1914	8	15	1200	42.50	43.09	N	11.02	11.06	W	WSW	4	30.260	69.0	68.0	65.0	67.0
1914	8	15	1600							WSW	5	30.230	69.5	68.5	67.0	66.0
1914	8	15	2000							WNW	4	30.240	68.0	67.5	67.0	65.0
1914	8	15	2400							NWxN	4	30.320		67.5	66.5	66.5
1914	8	16	400							WNW	7	30.225	68.0	67.0	65.0	66.6
1914	8	16	800							WNW	8	30.250	71.0	68.0	65.0	68.0
1914	8	16	1200	40.56	40.58	N	12.00	12.08	W	NbyW	4	30.260	70.0	69.5	67.0	65.5
1914	8	16	1600							NNW	4	30.250	71.0	70.0	68.0	69.0
1914	8	16	2000							NNW	5	30.260	72.0	68.0	67.0	69.0
1914	8	16	2400							NxE	3	30.350	68.0	68.3	66.5	68.7
1914	8	17	400							NNE	3	30.260	68.0	68.0	65.0	
1914	8	17	800							NNE	3	30.260	71.0	70.0	68.0	68.0
1914	8	17	1200	39.21	39.38	N	12.49	12.52	W	NNE	3	30.260	72.0	71.0	69.0	69.0
1914	8	17	1600							NNE	3	30.250	72.0	71.0	69.5	69.0
1914	8	17	2000							NxE	2	30.260	72.0	70.0	69.5	69.2
1914	8	17	2400							NxE	2	30.350	71.0	70.0	69.2	69.5
1914	8	18	400							NxE	3	30.260	68.0	67.0	65.0	67.5
1914	8	18	800							NxE	3	30.260	71.0	68.0	65.0	
1914	8	18	1200	37.56	38.04	N	13.40	13.37	W	NNE	3	30.250	72.0	70.0	68.0	70.2
1914	8	18	1600									30.250	74.6	72.0	69.0	70.3
1914	8	18	2000							NxE	2	30.275	71.5	68.5	65.0	
1914	8	18	2400							NxE	4	30.360		68.0	65.0	
